code,name,province,city,area,town
120101,五大道街道,12,01,01,003000
120101,新兴街道,12,01,01,004000
120101,南营门街道,12,01,01,005000
120101,南市街道,12,01,01,006000
120102,大王庄街道,12,01,02,001000
120102,大直沽街道,12,01,02,002000
120102,中山门街道,12,01,02,003000
120102,富民路街道,12,01,02,004000
120102,二号桥街道,12,01,02,005000
120102,春华街道,12,01,02,006000
120102,唐家口街道,12,01,02,007000
120102,向阳楼街道,12,01,02,008000
120102,常州道街道,12,01,02,009000
120102,上杭路街道,12,01,02,010000
120102,东新街道,12,01,02,011000
120102,鲁山道街道,12,01,02,012000
120102,天津铁厂街道,12,01,02,013000
120103,大营门街道,12,01,03,001000
120103,下瓦房街道,12,01,03,002000
120103,桃园街道,12,01,03,003000
120103,挂甲寺街道,12,01,03,004000
120103,马场街道,12,01,03,005000
120103,越秀路街道,12,01,03,006000
120103,友谊路街道,12,01,03,007000
120103,天塔街道,12,01,03,008000
120103,尖山街道,12,01,03,009000
120103,陈塘庄街道,12,01,03,010000
120103,柳林街道,12,01,03,011000
120103,东海街道,12,01,03,012000
120103,梅江街道,12,01,03,013000
120103,太湖路街道,12,01,03,014000
120104,长虹街道,12,01,04,001000
120104,鼓楼街道,12,01,04,002000
120104,兴南街道,12,01,04,003000
120104,广开街道,12,01,04,004000
120104,万兴街道,12,01,04,005000
120104,学府街道,12,01,04,006000
120104,向阳路街道,12,01,04,007000
120104,嘉陵道街道,12,01,04,008000
120104,王顶堤街道,12,01,04,009000
120104,水上公园街道,12,01,04,010000
120104,体育中心街道,12,01,04,011000
120104,华苑街道,12,01,04,012000
120105,光复道街道,12,01,05,001000
120105,望海楼街道,12,01,05,002000
120105,鸿顺里街道,12,01,05,003000
120105,新开河街道,12,01,05,004000
120105,铁东路街道,12,01,05,005000
120105,建昌道街道,12,01,05,006000
120105,宁园街道,12,01,05,007000
120105,王串场街道,12,01,05,008000
120105,江都路街道,12,01,05,009000
120105,月牙河街道,12,01,05,010000
120106,西于庄街道,12,01,06,001000
120106,咸阳北路街道,12,01,06,003000
120106,丁字沽街道,12,01,06,004000
120106,西沽街道,12,01,06,005000
120106,三条石街道,12,01,06,006000
120106,邵公庄街道,12,01,06,008000
120106,芥园街道,12,01,06,009000
120106,铃铛阁街道,12,01,06,010000
120106,和苑街道,12,01,06,012000
120110,张贵庄街道,12,01,10,001000
120110,丰年村街道,12,01,10,002000
120110,万新街道,12,01,10,003000
120110,无瑕街道,12,01,10,004000
120110,新立街道,12,01,10,005000
120110,华明街道,12,01,10,006000
120110,金钟街道,12,01,10,007000
120110,军粮城街道,12,01,10,008000
120110,金桥街道,12,01,10,009000
120110,华新街道,12,01,10,010000
120110,东丽湖街道,12,01,10,011000
120110,天津经济技术开发区西区,12,01,10,400000
120110,天津航空物流区,12,01,10,401000
120110,天津空港经济区,12,01,10,402000
120110,东丽区经济技术开发区,12,01,10,403000
120110,综合保税区,12,01,10,405000
120110,航空新城,12,01,10,406000
120110,服务滨海新区建设管理委员会,12,01,10,407000
120111,西营门街道,12,01,11,001000
120111,李七庄街道,12,01,11,002000
120111,赤龙南街道,12,01,11,003000
120111,津门湖街道,12,01,11,005000
120111,中北镇,12,01,11,100000
120111,杨柳青镇,12,01,11,101000
120111,辛口镇,12,01,11,102000
120111,张家窝镇,12,01,11,103000
120111,精武镇,12,01,11,104000
120111,大寺镇,12,01,11,105000
120111,王稳庄镇,12,01,11,106000
120111,天津经济技术开发区微电子小区,12,01,11,400000
120111,新技术产业园区,12,01,11,401000
120111,西青区开发区,12,01,11,450000
120112,双新街道,12,01,12,001000
120112,双林街道,12,01,12,002000
120112,海棠街道,12,01,12,003000
120112,咸水沽镇,12,01,12,100000
120112,葛沽镇,12,01,12,101000
120112,小站镇,12,01,12,102000
120112,双港镇,12,01,12,103000
120112,辛庄镇,12,01,12,104000
120112,双桥河镇,12,01,12,106000
120112,八里台镇,12,01,12,107000
120112,北闸口镇,12,01,12,108000
120112,长青办事处,12,01,12,403000
120112,津南开发区东区,12,01,12,404000
120112,津南开发区西区,12,01,12,405000
120112,津南国家农业园区,12,01,12,501000
120113,果园新村街道,12,01,13,001000
120113,集贤里街道,12,01,13,002000
120113,普东街道,12,01,13,003000
120113,瑞景街道,12,01,13,004000
120113,佳荣里街道,12,01,13,005000
120113,青源街道,12,01,13,006000
120113,广源街道,12,01,13,007000
120113,双环邨街道,12,01,13,008000
120113,天穆镇,12,01,13,100000
120113,北仓镇,12,01,13,101000
120113,双街镇,12,01,13,102000
120113,双口镇,12,01,13,103000
120113,青光镇,12,01,13,104000
120113,宜兴埠镇,12,01,13,106000
120113,小淀镇,12,01,13,107000
120113,大张庄镇,12,01,13,108000
120113,西堤头镇,12,01,13,111000
120113,科技园区北区,12,01,13,400000
120113,科技园区南区,12,01,13,401000
120113,天津医药医疗器械工业园,12,01,13,402000
120113,天津陆路港物流装备产业园,12,01,13,403000
